date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:54:20	434035/434035	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Dec%202025%2012:54:20%20GMT	https://descubredesierto.com/	./descubre-backup/descubredesierto.com/index.html	(from )
13:54:20	0/0	---M--	404	error ('Not%20Found')	text/javascript	date:Mon,%2022%20Dec%202025%2012:54:20%20GMT	https://descubredesierto.com/gtm.js?id=	./descubre-backup/descubredesierto.com/gtm5445.js	(from https://descubredesierto.com/)
13:54:22	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Dec%202025%2012:54:21%20GMT	http://descubredesierto.com/cdn/shop/files/favicon-descubredesierto_32x32.png?v=1662979052	./descubre-backup/descubredesierto.com/cdn/shop/files/favicon-descubredesierto_32x32.165ae.delayed	(from https://descubredesierto.com/)
13:54:22	2820/2820	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Nov%202025%2017:38:33%20GMT	https://descubredesierto.com/cdn/shop/files/favicon-descubredesierto_32x32.png?v=1662979052	./descubre-backup/descubredesierto.com/cdn/shop/files/favicon-descubredesierto_32x3265ae.png	(from https://descubredesierto.com/)
13:54:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Dec%202025%2012:54:23%20GMT	http://descubredesierto.com/cdn/shop/t/10/assets/theme.css?v=132982745815050292741762265040	./descubre-backup/descubredesierto.com/cdn/shop/t/10/assets/themec080.css	(from https://descubredesierto.com/)
13:54:27	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Dec%202025%2012:54:25%20GMT	http://descubredesierto.com/cdn/shop/t/10/assets/jquery.min.js?v=146653844047132007351684518128	./descubre-backup/descubredesierto.com/cdn/shop/t/10/assets/jquery.min53b6.js	(from https://descubredesierto.com/)
13:54:27	901363/901363	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Nov%202025%2020:27:04%20GMT	https://descubredesierto.com/cdn/shop/t/10/assets/theme.css?v=132982745815050292741762265040	./descubre-backup/descubredesierto.com/cdn/shop/t/10/assets/themec080.css	(from https://descubredesierto.com/)
13:54:28	4269/4269	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2022%20Dec%202025%2012:54:28%20GMT	https://descubredesierto.com/checkouts/internal/preloads.js?locale=es-ES	./descubre-backup/descubredesierto.com/checkouts/internal/preloads8cdc.js	(from https://descubredesierto.com/)
13:54:29	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Dec%202025%2012:54:29%20GMT	http://descubredesierto.com/cdn/shopifycloud/shop-js/modules/v2/client.init-shop-cart-sync_CKHg5p7x.es.esm.js	./descubre-backup/descubredesierto.com/cdn/shopifycloud/shop-js/modules/v2/client.init-shop-cart-sync_CKHg5p7x.es.esm.js	(from https://descubredesierto.com/)
13:54:29	84345/84345	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2009%20Nov%202025%2000:47:26%20GMT	https://descubredesierto.com/cdn/shop/t/10/assets/jquery.min.js?v=146653844047132007351684518128	./descubre-backup/descubredesierto.com/cdn/shop/t/10/assets/jquery.min53b6.js	(from https://descubredesierto.com/)
13:54:30	959/959	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2019%20Dec%202025%2016:47:27%20GMT	https://descubredesierto.com/cdn/shopifycloud/shop-js/modules/v2/client.init-shop-cart-sync_CKHg5p7x.es.esm.js	./descubre-backup/descubredesierto.com/cdn/shopifycloud/shop-js/modules/v2/client.init-shop-cart-sync_CKHg5p7x.es.esm.js	(from https://descubredesierto.com/)
13:54:31	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Dec%202025%2012:54:31%20GMT	http://descubredesierto.com/cdn/shopifycloud/shop-js/modules/v2/chunk.common_DkoBXfB9.esm.js	./descubre-backup/descubredesierto.com/cdn/shopifycloud/shop-js/modules/v2/chunk.common_DkoBXfB9.esm.js	(from https://descubredesierto.com/)
13:54:33	144325/144325	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2019%20Dec%202025%2016:47:28%20GMT	https://descubredesierto.com/cdn/shopifycloud/shop-js/modules/v2/chunk.common_DkoBXfB9.esm.js	./descubre-backup/descubredesierto.com/cdn/shopifycloud/shop-js/modules/v2/chunk.common_DkoBXfB9.esm.js	(from https://descubredesierto.com/)
13:54:33	0/0	---M--	404	error ('Not%20Found')	text/javascript	date:Mon,%2022%20Dec%202025%2012:54:33%20GMT	https://descubredesierto.com/modules/v2/chunk.common_DkoBXfB9.esm.js	./descubre-backup/descubredesierto.com/modules/v2/chunk.common_DkoBXfB9.esm.js	(from https://descubredesierto.com/)
13:54:34	0/0	---M--	404	error ('Not%20Found')	text/javascript	date:Mon,%2022%20Dec%202025%2012:54:34%20GMT	https://descubredesierto.com/modules/v2/client.shop-login-button_D-keTisJ.es.esm.js	./descubre-backup/descubredesierto.com/modules/v2/client.shop-login-button_D-keTisJ.es.esm.js	(from https://descubredesierto.com/)
13:54:36	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Dec%202025%2012:54:36%20GMT	http://descubredesierto.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-a0a9edcb.js	./descubre-backup/descubredesierto.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-a0a9edcb.js	(from https://descubredesierto.com/)
13:54:36	9652/9652	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2002%20Nov%202025%2007:21:34%20GMT	https://cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	./descubre-backup/cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	(from https://descubredesierto.com/)
13:54:37	13595/13595	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2009%20Dec%202025%2019:02:44%20GMT	https://descubredesierto.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-a0a9edcb.js	./descubre-backup/descubredesierto.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-a0a9edcb.js	(from https://descubredesierto.com/)
