date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:30	434119/434119	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2009:17:32%20GMT	https://descubredesierto.com/	./descubre-backup/descubredesierto.com/index.html	(from )
10:17:30	0/0	---M--	404	error ('Not%20Found')	text/javascript	date:Wed,%2024%20Dec%202025%2009:17:32%20GMT	https://descubredesierto.com/gtm.js?id=	./descubre-backup/descubredesierto.com/gtm5445.js	(from https://descubredesierto.com/)
10:17:32	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Dec%202025%2009:17:33%20GMT	http://descubredesierto.com/cdn/shop/files/favicon-descubredesierto_32x32.png?v=1662979052	./descubre-backup/descubredesierto.com/cdn/shop/files/favicon-descubredesierto_32x32.165ae.delayed	(from https://descubredesierto.com/)
10:17:32	2820/2820	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Nov%202025%2017:38:33%20GMT	https://descubredesierto.com/cdn/shop/files/favicon-descubredesierto_32x32.png?v=1662979052	./descubre-backup/descubredesierto.com/cdn/shop/files/favicon-descubredesierto_32x3265ae.png	(from https://descubredesierto.com/)
10:17:33	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Dec%202025%2009:17:35%20GMT	http://descubredesierto.com/cdn/shop/t/10/assets/theme.css?v=132982745815050292741762265040	./descubre-backup/descubredesierto.com/cdn/shop/t/10/assets/themec080.css	(from https://descubredesierto.com/)
10:17:36	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Dec%202025%2009:17:37%20GMT	http://descubredesierto.com/cdn/shop/t/10/assets/jquery.min.js?v=146653844047132007351684518128	./descubre-backup/descubredesierto.com/cdn/shop/t/10/assets/jquery.min53b6.js	(from https://descubredesierto.com/)
10:17:36	901363/901363	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Nov%202025%2020:27:04%20GMT	https://descubredesierto.com/cdn/shop/t/10/assets/theme.css?v=132982745815050292741762265040	./descubre-backup/descubredesierto.com/cdn/shop/t/10/assets/themec080.css	(from https://descubredesierto.com/)
10:17:37	4268/4268	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2024%20Dec%202025%2009:17:39%20GMT	https://descubredesierto.com/checkouts/internal/preloads.js?locale=es-ES	./descubre-backup/descubredesierto.com/checkouts/internal/preloads8cdc.js	(from https://descubredesierto.com/)
10:17:38	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Dec%202025%2009:17:40%20GMT	http://descubredesierto.com/cdn/shopifycloud/shop-js/modules/v2/client.init-shop-cart-sync_CKHg5p7x.es.esm.js	./descubre-backup/descubredesierto.com/cdn/shopifycloud/shop-js/modules/v2/client.init-shop-cart-sync_CKHg5p7x.es.esm.js	(from https://descubredesierto.com/)
10:17:38	84345/84345	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2009%20Nov%202025%2000:47:26%20GMT	https://descubredesierto.com/cdn/shop/t/10/assets/jquery.min.js?v=146653844047132007351684518128	./descubre-backup/descubredesierto.com/cdn/shop/t/10/assets/jquery.min53b6.js	(from https://descubredesierto.com/)
10:17:39	959/959	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2019%20Dec%202025%2016:47:27%20GMT	https://descubredesierto.com/cdn/shopifycloud/shop-js/modules/v2/client.init-shop-cart-sync_CKHg5p7x.es.esm.js	./descubre-backup/descubredesierto.com/cdn/shopifycloud/shop-js/modules/v2/client.init-shop-cart-sync_CKHg5p7x.es.esm.js	(from https://descubredesierto.com/)
10:17:40	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Dec%202025%2009:17:42%20GMT	http://descubredesierto.com/cdn/shopifycloud/shop-js/modules/v2/chunk.common_DkoBXfB9.esm.js	./descubre-backup/descubredesierto.com/cdn/shopifycloud/shop-js/modules/v2/chunk.common_DkoBXfB9.esm.js	(from https://descubredesierto.com/)
10:17:42	144325/144325	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2019%20Dec%202025%2016:47:28%20GMT	https://descubredesierto.com/cdn/shopifycloud/shop-js/modules/v2/chunk.common_DkoBXfB9.esm.js	./descubre-backup/descubredesierto.com/cdn/shopifycloud/shop-js/modules/v2/chunk.common_DkoBXfB9.esm.js	(from https://descubredesierto.com/)
10:17:42	0/0	---M--	404	error ('Not%20Found')	text/javascript	date:Wed,%2024%20Dec%202025%2009:17:44%20GMT	https://descubredesierto.com/modules/v2/chunk.common_DkoBXfB9.esm.js	./descubre-backup/descubredesierto.com/modules/v2/chunk.common_DkoBXfB9.esm.js	(from https://descubredesierto.com/)
10:17:43	0/0	---M--	404	error ('Not%20Found')	text/javascript	date:Wed,%2024%20Dec%202025%2009:17:45%20GMT	https://descubredesierto.com/modules/v2/client.shop-login-button_D-keTisJ.es.esm.js	./descubre-backup/descubredesierto.com/modules/v2/client.shop-login-button_D-keTisJ.es.esm.js	(from https://descubredesierto.com/)
10:17:45	9652/9652	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2008%20Nov%202025%2022:45:46%20GMT	https://cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	./descubre-backup/cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	(from https://descubredesierto.com/)
10:17:45	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Dec%202025%2009:17:47%20GMT	http://descubredesierto.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-a0a9edcb.js	./descubre-backup/descubredesierto.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-a0a9edcb.js	(from https://descubredesierto.com/)
10:17:46	13595/13595	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2009%20Dec%202025%2019:02:44%20GMT	https://descubredesierto.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-a0a9edcb.js	./descubre-backup/descubredesierto.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-a0a9edcb.js	(from https://descubredesierto.com/)
10:17:47	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Dec%202025%2009:17:49%20GMT	http://descubredesierto.com/cdn/shopifycloud/storefront/assets/shopify_pay/storefront-65b4c6d7.js?v=20250812	./descubre-backup/descubredesierto.com/cdn/shopifycloud/storefront/assets/shopify_pay/storefront-65b4c6d75501.js	(from https://descubredesierto.com/)
10:17:49	78733/78733	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2023%20Nov%202025%2006:25:36%20GMT	https://descubredesierto.com/cdn/shopifycloud/storefront/assets/shopify_pay/storefront-65b4c6d7.js?v=20250812	./descubre-backup/descubredesierto.com/cdn/shopifycloud/storefront/assets/shopify_pay/storefront-65b4c6d75501.js	(from https://descubredesierto.com/)
10:17:50	13882/13882	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Dec%202025%2009:08:57%20GMT	https://descubredesierto.com/cdn/shopifycloud/portable-wallets/latest/accelerated-checkout-backwards-compat.css	./descubre-backup/descubredesierto.com/cdn/shopifycloud/portable-wallets/latest/accelerated-checkout-backwards-compat.css	(from https://descubredesierto.com/)
